Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
399,"Kelly, Merrill",ARZ,P,461.65,257,581,,116,,
400,"Sabathia, CC",NYY,P,464.29,225,480,,111,,
401,"Miley, Wade",HOU,P,464.91,282,593,,119,,
402,"Diaz, Yandy",TB,3B,467.83,294,490,,104,,
403,"Kelly, Carson",ARZ,C,468.04,265,595,,101,,
404,"Alcantara, Sandy",MIA,P,468.14,288,547,,110,,
405,"Guzman, Ronald",TEX,1B,468.41,292,528,,106,,
406,"Romo, Sergio",MIA,P,470.81,243,593,,119,,
407,"Rosenthal, Trevor",WAS,P,475.57,305,554,,110,,
408,"Barria, Jaime",LAA,P,476.62,269,518,,101,,
409,"Keller, Brad",KC,P,476.8,239,558,,107,,
410,"Crawford, Brandon",SF,SS,478.31,297,480,,98,,
411,"Honeywell, Brent",TB,P,479.3,307,589,,103,,
412,"Roark, Tanner",CIN,P,479.47,302,482,,104,,
413,"Munoz, Yairo",STL,"2B, 3B, SS, OF",479.57,306,557,,101,,
414,"Lugo, Seth",NYM,P,480.5,314,599,,114,,
415,"Gonzalez, Gio",MLW,P,481.4,264,545,,106,,
416,"Anderson, Tyler",COL,P,481.47,205,535,,101,,
417,"Swarzak, Anthony",SEA,P,482.77,203,573,,100,,
418,"Tulowitzki, Troy",NYY,SS,483.79,234,570,,106,,
419,"Hirano, Yoshihisa",ARZ,P,484.52,279,574,,103,,
420,"Quinn, Roman",PHI,OF,485.43,258,587,,109,,
421,"Duffy, Danny",KC,P,485.73,300,533,,99,,
422,"Diaz, Aledmys",HOU,"SS, 3B",486.69,329,567,,97,,
423,"Smith, Caleb",MIA,P,487.01,315,554,,104,,
