Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
317,"Tatis, Jr., Fernando",SD,SS,324.81,147,397,,129,,
318,"Narvaez, Omar",SEA,C,325.87,237,481,,135,,
319,"Zimmerman, Ryan",WAS,1B,328.68,238,438,,134,,
320,"Mullins, Cedric",BAL,OF,330.33,199,514,,129,,
321,"Stroman, Marcus",TOR,P,330.84,244,418,,134,,
322,"Britton, Zach",NYY,P,333.37,144,537,,120,,
323,"Hicks, John",DET,"1B, C",335.11,218,500,,130,,
324,"Peralta, Freddy",MLW,P,335.43,220,415,,130,,
325,"Souza Jr., Steven",ARZ,OF,336.41,204,431,,130,,
326,"Belt, Brandon",SF,1B,337.16,253,429,,133,,
327,"Eflin, Zach",PHI,P,340.99,254,430,,132,,
328,"Woodruff, Brandon",MLW,P,342.03,255,446,,132,,
329,"Frazier, Adam",PIT,"2B, OF",342.07,243,446,,132,,
330,"Markakis, Nick",ATL,OF,344.73,189,417,,129,,
331,"Cordero, Franchy",SD,OF,347.22,235,436,,128,,
332,"O'Hearn, Ryan",KC,1B,348.41,248,460,,132,,
333,"O'Neill, Tyler",STL,OF,349.5,248,450,,130,,
334,"Burnes, Corbin",MLW,P,349.71,252,491,,128,,
335,"Diaz, Elias",PIT,C,354.63,232,479,,131,,
336,"Garver, Mitch",MIN,C,355.51,181,450,,130,,
337,"Gardner, Brett",NYY,OF,356.93,233,416,,129,,
338,"Harvey, Matt",LAA,P,358.57,268,478,,134,,
339,"Candelario, Jeimer",DET,3B,360.63,241,423,,129,,
340,"Allen, Greg",CLE,OF,361.52,199,423,,123,,
341,"Longoria, Evan",SF,3B,362.63,262,424,,127,,
342,"Stewart, Christin",DET,OF,364.7,139,445,,129,,
343,"Calhoun, Willie",TEX,OF,366.09,271,465,,126,,
344,"Healy, Ryon",SEA,1B,370.19,271,452,,128,,
345,"Urias, Luis",SD,2B,371.13,240,434,,128,,
346,"Peralta, Wily",KC,P,371.17,214,428,,116,,
